Attribute/TLV Name,Object Type,TLV Type,TLV,Constraints,Comments
"",,,Value,,
"",,,Field,,
"",,,Length,,
CommonStaticPwStatus,ComplexTLV,59.1,variable,N/A,
Direction,UnsignedByte,59.1.1,1,N/A,
Index,UnsignedShort,59.1.2,2,N/A,
RpdCircuitStatus,UnsignedShort,59.1.3,2,R,
TimeOfDay,ComplexTLV,104,Variable,N/A,
TimeOfDayUpdate,UnsignedByte,104.1,1,enumeration,
RpdGcpConnectionStatusTable,Complex TLV,105,variable,N/A,
Index,UnsignedByte,105.1,1,N/A,
CoreId,HexBinary,105.2,6,R,
RpdGcpConnectionStatus,UnsignedByte,105.3,1,R,
CoreGcpConnectionResponse,UnsignedByte,106,1,R/W,
RpdBackupCoreStatusTable,Complex TLV,107,variable,N/A,
Index,UnsignedByte,107.1,1,N/A,
CoreId,HexBinary,107.2,6,R/W,
RpdGcpBackupCoreStatus,UnsignedByte,107.3,1,R/W,
CoreGcpBackupResponse,UnsignedByte,108,1,R/W,
GcpHandoverControl,Complex TLV,109,variable,N/A,
GcpHandoverControlAction,UnsignedByte,109.1,1,R/W,
OosCore,HexBinary,109.2,6,R/W,
NewActiveCore,HexBinary,109.3,6,R/W,
L2TPv3,UnsignedByte,109.4,1,R/W,
TLV Name,Object Type,TLV,TLV Value,Constraints,Comments
"",,Type,Field,,
"",,,Length,,
DsRfPortPerf,Complex TLV,71,variable,R,
operStatusDsRfPort,UnsignedByte,71.1,1,R,
DsScQamChannelPerf,Complex TLV,72,variable,R,
outDiscards,UnsignedLong,72.1,8,R,
outErrors,UnsignedLong,72.2,8,R,
outPackets,UnsignedLong,72.3,8,R,
discontinuityTime,DateAndTime,72.4,8 or 11,R,
operStatusDsScQam,UnsignedByte,72.5,1,R,
DsOfdmChannelPerf,Complex TLV,73,variable,R,
outDiscards,UnsignedLong,73.1,8,R,
outErrors,UnsignedLong,73.2,8,R,
DsOfdmProfilePerf,Complex TLV,73.3,variable,R,
ProfileIndex,UnsignedByte,73.3.1,1,,
outCodewords,UnsignedLong,73.3.2,8,R,
outPackets,UnsignedLong,73.4,8,R,
