TLV Name,Object Type,TLV,TLV Value,Constraints,Comments
"",,Type,Field,,
"",,,Length,,
ScheduledGrants,UnsignedLong,78.2.2,8,R,
NoEnergyBursts,UnsignedLong,78.2.3,8,R,
NoPreambleBursts,UnsignedLong,78.2.4,8,R,
ErrorBursts,UnsignedLong,78.2.5,8,R,
GoodFecCw,UnsignedLong,78.2.6,8,R,
CorrectedFecCw,UnsignedLong,78.2.7,8,R,
UncorrectFecCw,UnsignedLong,78.2.8,8,R,
HcsErrors,UnsignedLong,78.3,8,R,
LateMaps,UnsignedLong,78.4,8,R,
IllegalMaps,UnsignedLong,78.5,8,R,
DiscardedRequests,UnsignedLong,78.6,8,R,
ChannelSnr,UnsignedShort,78.7,2,R,
discontinuityTime,DateAndTime,78.8,8 or 11,R,
operStatusUsScQam,UnsignedByte,78.9,1,R,
UcdRefreshStatusScqam,Complex TLV,78.10,variable,,
UcdRefreshRequestScqam,Boolean,78.10.1,1,R,
UcdRefreshReasonScqam,UnsignedByte,78.10.2,0 .. 32,R,
UsOfdmaChannelPerf,Complex TLV,79,variable,,
UsOfdmaChanLowIucStats,Complex TLV,79.1,variable,,
UsIuc,UnsignedByte,79.1.1,1,,"IUCs 1,2,3"
UnicastOpportunities,UnsignedLong,79.1.2,8,R,
UnicastOpCollisions,UnsignedLong,79.1.3,8,R,
UnicastOpNoEnergy,UnsignedLong,79.1.4,8,R,
UnicastOpErrors,UnsignedLong,79.1.5,8,R,
MulticastOpportunities,UnsignedLong,79.1.6,8,R,
McastOpCollisions,UnsignedLong,79.1.7,8,R,
McastOpNoEnergy,UnsignedLong,79.1.8,8,R,
McastOpErrors,UnsignedLong,79.1.9,8,R,
NumPredecodePass,UnsignedLong,79.1.10,8,R,
NumPostdecodePass,UnsignedLong,79.1.11,8,R,
NumPostdecodeFail,UnsignedLong,79.1.12,8,R,
UsOfdmaChanHiIucStats,Complex TLV,79.2,variable,,
UsIuc,UnsignedByte,79.2.1,1,,"IUCs 4,5,6,9,10,11,12,13"
ScheduledGrants,UnsignedLong,79.2.2,8,R,
NoEnergyBursts,UnsignedLong,79.2.3,8,R,
NoPreambleBursts,UnsignedLong,79.2.4,8,R,
ErrorBursts,UnsignedLong,79.2.5,8,R,
NumPredecodePass,UnsignedLong,79.2.6,8,R,
NumPostdecodePass,UnsignedLong,79.2.7,8,R,
NumPostdecodeFail,UnsignedLong,79.2.8,8,R,
AverageMer,UnsignedShort,79.2.9,2,R,
HcsErrors,UnsignedLong,79.3,8,R,
LateMaps,UnsignedLong,79.4,8,R,
IllegalMaps,UnsignedLong,79.5,8,R,
