TLV Name,Object Type,TLV,TLV Value,Constraints,Comments
"",,Type,Field,,
"",,,Length,,
DiscardedRequests,UnsignedLong,79.6,8,R,
ProbeGrants,UnsignedLong,79.7,8,R,
discontinuityTime,DateAndTime,79.8,8 or 11,R,
operStatusUsScQam,UnsignedByte,79.9,1,R,
UcdRefreshStatusOfdma,Complex TLV,79.10,variable,,
UcdRefreshRequestOfdma,Boolean,79.10.1,1,R,
UcdRefreshReasonOfdma,String,79.10.2,0 .. 32,R,
UsOob551lPerf,Complex TLV,80,variable,R,
operStatusUsOob551,UnsignedByte,80.1,1,R,
UsOob552Perf,Complex TLV,81,variable,R,
operStatusUsOob552,UnsignedByte,81.1,1,R,
NdrPerf,Complex TLV,82,variable,R,
operStatusNdr,UnsignedByte,82.1,1,R,
"",TLV Name,Object Type,TLV Type,TLV Value,Constraints,Comments
"",,,,Field Length,,
RpdCtrl,,Complex TLV,40,variable,,
ResetCtrl,,Complex TLV,40.1,variable,,
Reset,,UnsignedByte,40.1.1,1,R/w,
LogCtrl,,Complex TLV,40.2,variable,,
ResetLog,,UnsignedByte,40.2.1,1,R/W,
CrashDataFileCtrl,,ComplexTLV,40.3,variable,,
Index,,UnsignedByte,40.3.1,1,,
FileControl,,UnsignedByte,40.3.2,1,,
CrashDataServerCtrl,,Complex TLV,40.4,,,
DestIpAddress,,IpAddress,40.4.1,4 | 16,R/W,
DestPath,,String,40.4.2,255,R/W,
Protocol,,UnsignedByte,40.4.3,1,R/W,
RebootDisableCtrl,,Complex TLV,40.5,variable,,
RebootDisable,,Boolean,40.5.1,1,R/W,
DisableTimeout,,UnsignedInt,40.5.2,4,RW,
UsSpectrumCapture,,Complex TLV,41,Variable,,
UscSacIndex,,UnsigneByte,41.1,1,,
UscCommand,,UnsignedByte,41.2,1,,
UscStatus,,UnsignedByte,41.3,1,,
UscConfig,,Complex TLV,41.4,Variable,,
ScCfgTrigChannelType,,UnsignedByte,41.4.1,1,,
ScCfgTrigChannelIndex,,UnsignedByte,41.4.2,1,,
ScCfgTrigMode,,UnsignedByte,41.4.3,1,,
ScCfgTrigMinislotCount,,UnsignedInt,41.4.4,4,,
