Attribute/TLV Name,Object Type,TLV Type,TLV,Constraints,Comments
"",,,Value,,
"",,,Field,,
"",,,Length,,
SupportsPspNdrPw,Boolean,50.50.6,1,R,
DsCapabilities,Complex TLV,50.51,variable,R,
DsScqamInterleaverSupport,Unsigned,50.51.1,4,R,
DsMaxDocsisScQamChannels,UnsignedShort,50.51.2,2,R,
DsMaxMultipleScQamPspSessions,UnsignedShort,50.51.3,2,R,
GcpCapabilities,Complex TLV,50.52,variable,R,
GcpKaResponseTime,UnsignedShort,50.52.1,2,R,
SwImageCapabilities,Complex TLV,50.53,Variable,,
NumSwImages,UnsignedByte,50.53.1,1,R,
ImageUpgradeability,UnsignedByte,50.53.2,1,R,
OfdmConfigurationCapabilities,Complex TLV,50.54,variable,R,
RequiresOfdmaImDurationConfig,Boolean,50.54.1,1,R,
ResetCapabilities,Complex TLV,50.55,variable,R,
SoftResetSupported,Boolean,50.55.1,1,R,
NvResetSupported,Boolean,50.55.2,1,R,
FactoryResetSupported,Boolean,50.55.3,1,R,
RpdCoreRedundancyCapabilities,Complex TLV,50.56,variable,R,
HandoverToBackup,Boolean,50.56.1,1,R,
ConnectionStatus,Boolean,50.56.2,1,R,
ReconnectFromCore,Boolean,50.56.3,1,R,
FdxCapabilities,Complex,50.57,variable,R,
SupportFdx,Boolean,50.57.1,1,R,
SupportZblInsertion,Boolean,50.57.2,1,R,
ZblInsMsgLeadTime,UnsignedShort,50.57.3,2,R,
UsProfileQuerySupported,Boolean,50.58,1,R,
SpectrumCaptureCapabilities,Complex TLV,50.59,variable,R,
NumSacs,UnsignedByte,50.59.1,1,R,
SacCapabilities,Complex TLV,50.59.2,variable,R,
SacIndex,UnsignedByte,50.59.2.1,1,N/A,key
SacDescription,String,50.59.2.2,0 .. 64,R,
MaxCaptureSpan,UnsignedInt,50.59.2.3,4,R,
MinimumCaptureFrequency,UnsignedInt,50.59.2.4,4,R,
MaximumCaptureFrequency,UnsignedInt,50.59.2.5,4,R,
SupportedTriggerModes,UnsignedInt,50.59.2.6,4,R,
SupportedOutputFormats,UnsignedInt,50.59.2.7,4,R,
SupportedWindowFormats,UnsignedInt,50.59.2.8,4,R,
SupportsAveraging,UnsignedByte,50.59.2.9,1,R,
SupportedAggregationMethods,UnsignedInt,50.59.2.10,4,R,
SupportsSpectrumQualification,UnsignedByte,50.59.2.11,1,R,
MaxNumBins,UnsignedShort,50.59.2.12,2,R,
MinNumBins,UnsignedShort,50.59.2.13,2,R,
MinRepeatPeriod,UnsignedInt,50.59.2.14,4,R,microseconds
SupportedTrigChanTypes,UnsignedByte,50.59.2.15,1,R,
