"",Attribute/TLV Name,Object Type,TLV Type,TLV,Constraints,Comments
"",,,,Value,,
"",,,,Field,,
"",,,,Length,,
PwType,,UnsignedByte,50.59.2.16,1,R,
LowestCapturePort,,UnsignedByte,50.59.2.17,1,R,
HighestCapturePort,,UnsignedByte,50.59.2.18,1,R,
SupportsScanningCapture,,UnsignedByte,50.59.2.19,1,R,
MinScanningRepeatPeriod,,UnsignedInt,50.59.2.20,4,R,microseconds
Attribute/TLV Name,Object Type,TLV Type,TLV,Constraints,Comments
"",,,Value,,
"",,,Field,,
"",,,Length,,
EvCfg,Complex TLV,15.1,variable,,
EvControl,Complex TLV,15.1.1,variable,N/A,
EvPriority,UnsignedByte,15.1.1.1,1,N/A,
EvReporting,UnsignedByte,15.1.1.2,1,R/W,
EvThrottleAdminStatus,UnsignedByte,15.1.2,1,R/W,
EvThrottleThreshold,UnsignedInt,15.1.3,4,R/W,
EvThrottleInterval,UnsignedInt,15.1.4,4,R/W,
NotifyEnable,UnsignedByte,15.1.5,1,R/W,
GcpConnVerification,Complex TLV,15.2,variable,,
CoreId,HexBinary,15.2.1,6,N/A,key
MaxGcpIdleTime,UnsignedShort,15.2.2,2,R/W,
GcpRecoveryAction,UnsignedByte,15.2.3,1,R/W,
GcpRecoveryActionRetry,UnsignedByte,15.2.4,1,R/W,
GcpRecoveryActionDelay,UnsignedShort,15.2.5,2,R/W,
GcpReconnectTimeout,UnsignedShort,15.2.6,2,R/W,
GcpHandoverTimeout,UnsignedShort,15.2.7,2,R/W,
IpConfig,Complex TLV,15.3,variable,,
IpStackControl,UnsignedByte,15.3.1,1,R/W,
UepiControl,Complex TLV,15.4,variable,,
ScQamUseRngPw,Boolean,15.4.1,1,R/W,
OfdmaMaxNumPayloadUnits,UnsignedByte,15.4.2,1,R/W,
OfdmaMaxNumTrailerUnits,UnsignedByte,15.4.3,1,R/W,
GcpDscp,UnsignedByte,15.5,1,R/W,
CcapCoreIdentification,Complex TLV,60,variable,R/W,
Index,UnsignedByte,60.1,1,N/A,
CoreId,HexBinary,60.2,6,R/W,
CoreIpAddress,IpAddress,60.3,4 or 16,R/W,
IsPrincipal,Boolean,60.4,1,R/W,
CoreName,String,60.5,variable,R/W,
